name,category,code,unit,brand,vendor,image_url,is_active,created_by,quantity,branch,description
ZERO TPL HD BLACK,TPL,2048,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
4802 IMP. BEADS GEL,TPL,2049,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
4801 TPL SHINING GEL,TPL,2050,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
4808 HD FOIL GEL,TPL,2051,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
TPL GRAFCO 916 ACTIVE TRANSFER GEL,TPL,2052,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
CSC POLYGRAY O/B,TPL,2053,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
TPL BRIGHT GOLD SIMMER,TPL,2054,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
TPL BRIGHT SILVER SIMMER,TPL,2055,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
TPL BRIGHT SILVER SIMMER (TRANSFER),TPL,2056,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
CRYSTAL GEL ,TPL,2057,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
GRAFCO PRINT REMOVER,TPL,2058,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
LIQUID THICKNER ,TPL,2059,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
STONE HD O/B,TPL,2060,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
T.HIDENSITY,TPL,2061,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
